54,34,20
63,30,33
69,41,28
71,22,49
76,47,29
81,45,36
83,20,63
88,28,60
92,37,55
101,71,30
112,51,61
113,42,71
114,30,84
117,53,64
119,45,74
121,23,98
124,33,91
125,50,75
127,98,29
129,72,57
131,42,89
137,41,96
140,97,43
148,58,90
154,80,74
155,77,78
159,46,113
159,118,41
161,83,78
162,93,69
163,63,100
174,120,54
176,75,101
176,95,81
177,66,111
178,97,81
179,64,115
182,106,76
187,89,98
189,78,111
191,72,119
197,114,83
198,100,98
204,98,106
205,120,85
206,93,113
213,93,120
221,101,120
233,120,113
235,119,116
