1,68
2,177
3,129
4,45
5,73
6,189
7,99
8,102
9,189
10,173
11,95
12,175
13,123
14,73
15,217
16,217
17,173
18,143
19,95
20,155
21,95
22,117
23,150
24,99
25,130
26,173
27,162
28,143
29,95
30,227
31,217
32,118
33,205
34,134
35,217
36,99
37,154
38,116
39,177
40,181
41,130
42,175
43,137
44,197
45,227
46,175
47,175
48,166
49,141
50,125
51,95
52,95
53,154
54,150
55,185
56,154
57,129
58,141
59,113
60,227
61,118
62,175
63,192
64,179
65,116
66,229
67,131
68,185
69,95
70,121
71,187
72,205
73,154
74,130
75,154
76,73
77,138
78,123
79,210
80,117
81,205
82,138
83,179
84,162
85,155
86,105
87,49
88,134
89,134
90,181
91,154
92,205
93,95
94,105
95,154
96,49
97,45
98,189
99,187
100,150
101,131
102,45
103,143
104,102
105,229
106,154
107,124
108,117
109,205
110,229
111,45
112,45
113,154
114,155
115,150
116,117
117,166
118,162
119,45
120,155
121,227
122,155
123,121
124,129
125,134
126,117
127,116
128,49
129,154
130,117
131,175
132,134
133,137
134,217
135,154
136,116
137,205
138,125
139,181
140,137
141,125
142,123
143,154
144,166
145,227
