1,1
1,9
2,2
2,36
3,2
3,27
4,3
4,27
5,40
5,42
6,16
6,21
7,4
7,44
8,13
8,34
9,5
9,8
10,6
10,37
11,4
11,32
12,13
12,29
13,24
13,38
14,12
14,32
15,13
15,26
16,10
16,41
17,3
17,14
18,28
18,36
19,32
19,36
20,14
20,34
21,14
21,29
22,18
22,32
23,18
23,23
24,6
24,7
25,2
25,23
26,18
26,35
27,13
27,22
28,17
28,21
29,21
29,32
30,32
30,34
31,9
31,35
32,24
32,28
33,21
33,44
34,8
34,26
35,3
35,4
36,21
36,32
37,1
37,35
38,2
38,5
39,14
39,24
40,4
40,10
41,17
41,21
42,32
42,41
43,17
43,28
44,22
44,32
45,1
45,26
46,18
46,35
47,33
47,34
48,1
48,3
49,5
49,39
50,37
50,40
51,36
51,44
52,25
52,36
53,33
53,44
54,26
54,30
55,9
55,28
56,13
56,27
57,12
57,27
58,10
58,33
59,17
59,20
60,4
60,34
61,11
61,16
62,28
62,30
63,8
63,41
64,12
64,13
65,8
65,13
66,14
66,36
67,29
67,32
68,2
68,11
69,15
69,20
70,38
70,41
71,21
71,36
72,10
72,16
73,15
73,40
74,17
74,37
75,18
75,29
76,19
76,43
78,21
78,29
79,18
79,22
80,23
80,36
81,1
81,11
82,20
82,24
83,6
83,25
84,26
84,30
85,32
85,40
86,4
86,25
87,8
87,39
89,6
89,28
90,4
90,29
91,29
91,39
92,25
92,35
93,30
93,36
94,31
94,33
95,32
95,40
96,33
96,34
97,9
97,34
98,19
98,43
99,29
99,36
100,25
100,35
101,25
101,29
102,20
102,35
103,12
103,26
104,12
104,36
105,2
105,26
106,15
106,36
107,2
107,37
108,2
108,31
109,27
109,41
110,28
110,43
111,6
111,15
112,38
112,40
113,18
113,39
114,3
114,10
115,31
115,40
116,35
116,39
117,20
117,37
118,8
118,9
119,4
119,42
120,11
120,41
121,11
121,32
122,13
122,31
124,25
124,40
125,5
125,14
126,2
126,22
127,15
127,24
128,38
128,44
130,31
130,44
131,10
131,25
132,12
132,37
133,1
133,6
134,5
134,25
135,15
135,35
136,22
136,40
137,2
137,18
138,10
138,13
139,1
139,40
140,17
140,33
141,3
141,19
142,6
142,29
143,9
143,25
144,4
144,17
145,7
145,35
