1,288,320,640,192
2,165,152,705,261
3,689,841,1925,578
4,3012,1593,973,1728
5,116,173,462,404
6,1894,504,766,1888
7,1722,1281,1586,1185
8,852,1095,775,873
10,472,379,327,215
11,834,843,1417,497
12,2741,2134,2948,1548
13,1279,448,1174,776
14,476,374,544,340
15,2009,1982,2269,1210
16,401,134,234,100
17,575,390,647,310
18,3030,3555,3767,1767
19,721,474,736,310
20,1063,1177,2478,743
21,970,1078,2155,647
22,2644,467,933,1244
23,5002,2200,1463,2807
24,1981,623,872,1037
25,6359,7435,7957,4565
26,4863,3232,3178,3088
27,1704,1065,426,1065
28,1724,649,530,930
29,1783,858,505,1026
33,506,316,126,316
34,931,164,329,438
36,352,323,427,186
37,3825,3260,4540,2055
38,662,627,449,356
39,2676,2187,4578,2221
40,436,557,975,293
41,695,773,1545,464
42,126,140,280,84
43,1114,1238,2475,743
44,396,346,1082,411
45,1465,351,466,765
46,864,960,1920,576
48,1198,811,1150,867
49,2146,1984,2696,1148
50,279,167,947,390
51,249,498,2241,125
52,747,115,57,574
53,2042,981,454,1318
54,1298,1040,2563,919
55,441,988,1580,949
58,1548,1211,1704,664
59,227,167,893,325
60,43,7,3,33
61,544,256,155,311
62,1085,678,271,678
63,434,271,109,271
64,1122,1537,2587,1192
65,1842,3422,3826,2341
66,1844,1240,1711,926
67,2962,1556,1656,1926
68,3103,4945,6030,3168
69,2224,1506,1950,1132
70,512,467,172,191
71,1595,772,2668,763
72,7212,3293,1675,3933
73,312,48,24,240
74,1178,979,2677,384
75,3711,2829,1564,2062
76,4323,4941,4876,3131
77,106,481,772,266
78,995,263,606,750
79,1223,1404,753,1026
80,249,199,796,50
81,2434,2113,2138,1630
82,1639,1733,3187,1031
83,1081,1075,1103,824
84,735,1118,825,555
85,1819,654,834,984
86,2115,768,816,1061
87,931,332,744,297
88,900,413,870,1249
89,2674,3300,8449,2823
90,1396,442,674,705
91,7312,6267,7665,4183
92,1609,873,2360,793
93,2684,2040,3527,1845
94,490,440,550,253
95,919,600,1016,218
96,1748,913,1849,500
97,772,442,843,266
98,3275,2624,1351,1713
99,2410,1426,1383,1168
100,4223,2079,1692,1813
101,134,436,581,292
102,2774,1858,2072,1010
103,3092,4427,2524,1976
104,292,927,1267,628
105,1138,1211,2254,721
106,696,174,1740,174
107,1132,440,530,645
108,1815,1547,1370,907
