6769,1,14,3,1
6770,1,1,3,1
6771,1,9,3,1
6772,1,10,3,1
6773,1,44,3,1
6774,1,26,3,1
6775,1,27,3,1
6776,1,35,3,1
6777,1,24,3,1
6778,2,11,1,5
6779,2,16,1,5
6780,2,12,1,5
6781,2,18,1,5
6782,2,43,1,5
6783,2,5,1,5
6784,2,45,1,5
6785,4,1,2,1
6786,4,14,2,1
6787,4,44,2,1
6788,4,26,2,1
6789,4,9,2,1
6790,4,24,2,1
6791,4,35,2,1
6792,4,10,2,1
6793,4,27,2,1
6794,5,11,1,1
6795,5,5,1,1
6796,5,18,1,1
6797,5,43,1,1
6798,5,16,1,1
6799,5,12,1,1
6800,5,45,1,1
6801,7,35,2,3
6802,7,10,2,3
6803,7,14,2,3
6804,7,1,2,3
6805,7,24,2,3
6806,7,44,2,3
6807,7,26,2,3
6808,7,9,2,3
6809,7,27,2,3
6810,8,18,2,5
6811,8,12,2,5
6812,8,16,2,5
6813,8,5,2,5
6814,8,11,2,5
6815,8,45,2,5
6816,8,43,2,5
6817,10,35,3,4
6818,10,44,3,4
6819,10,26,3,4
6820,10,10,3,4
6821,10,14,3,4
6822,10,27,3,4
6823,10,9,3,4
6824,10,24,3,4
6825,10,1,3,4
6826,11,45,3,5
6827,11,18,3,5
6828,11,12,3,5
6829,11,16,3,5
6830,11,5,3,5
6831,11,11,3,5
6832,11,43,3,5
6833,13,26,2,4
6834,13,44,2,4
6835,13,35,2,4
6836,13,14,2,4
6837,13,9,2,4
6838,13,1,2,4
6839,13,27,2,4
6840,13,10,2,4
6841,13,24,2,4
6842,14,11,2,2
6843,14,43,2,2
6844,14,45,2,2
6845,14,5,2,2
6846,14,18,2,2
6847,14,16,2,2
6848,14,12,2,2
6849,16,24,3,2
6850,16,44,3,2
6851,16,26,3,2
6852,16,35,3,2
6853,16,14,3,2
6854,16,10,3,2
6855,16,27,3,2
6856,16,9,3,2
6857,16,1,3,2
6858,17,18,2,5
6859,17,5,2,5
6860,17,16,2,5
6861,17,43,2,5
6862,17,45,2,5
6863,17,12,2,5
6864,17,11,2,5
6865,19,24,2,5
6866,19,14,2,5
6867,19,10,2,5
6868,19,9,2,5
6869,19,44,2,5
6870,19,26,2,5
6871,19,1,2,5
6872,19,35,2,5
6873,19,27,2,5
6874,20,45,2,5
6875,20,11,2,5
6876,20,12,2,5
6877,20,5,2,5
6878,20,43,2,5
6879,20,18,2,5
6880,20,16,2,5
6881,22,35,4,4
6882,22,1,4,4
6883,22,44,4,4
6884,22,24,4,4
6885,22,27,4,4
6886,22,14,4,4
6887,22,10,4,4
6888,22,26,4,4
6889,22,9,4,4
6890,23,45,3,4
6891,23,43,3,4
6892,23,16,3,4
6893,23,11,3,4
6894,23,12,3,4
6895,23,18,3,4
6896,23,5,3,4
6897,25,24,4,2
6898,25,26,4,2
6899,25,10,4,2
6900,25,35,4,2
6901,25,1,4,2
6902,25,27,4,2
6903,25,44,4,2
6904,25,14,4,2
6905,25,9,4,2
6906,26,45,3,5
6907,26,5,3,5
6908,26,43,3,5
6909,26,12,3,5
6910,26,11,3,5
6911,26,16,3,5
6912,26,18,3,5
6913,28,9,4,2
6914,28,1,4,2
6915,28,35,4,2
6916,28,10,4,2
6917,28,26,4,2
6918,28,24,4,2
6919,28,44,4,2
6920,28,14,4,2
6921,28,27,4,2
6922,29,45,2,2
6923,29,43,2,2
6924,29,16,2,2
6925,29,11,2,2
6926,29,18,2,2
6927,29,12,2,2
6928,29,5,2,2
6929,31,14,4,1
6930,31,27,4,1
6931,31,35,4,1
6932,31,9,4,1
6933,31,1,4,1
