1,1,151
2,2,153
2,3,40
3,3,381
3,4,432
4,5,408
4,6,421
4,7,171
5,8,241
6,8,308
6,9,160
7,6,46
7,8,314
7,10,320
7,11,377
8,3,236
8,12,347
10,4,237
10,13,473
11,1,69
11,10,288
12,3,83
12,4,354
12,13,65
13,3,161
13,6,444
13,14,455
14,14,415
15,10,340
15,11,216
15,14,269
16,15,212
17,1,446
17,6,49
17,10,100
18,4,23
18,10,149
18,11,472
19,3,428
19,16,315
20,1,302
20,3,233
21,1,192
22,6,174
23,5,498
23,6,433
24,6,333
24,9,419
24,13,338
24,17,342
25,3,186
25,4,133
25,12,386
25,13,73
26,3,283
26,5,305
26,13,177
27,5,469
28,5,118
28,6,131
29,5,209
29,6,262
33,5,302
34,6,106
36,1,134
36,10,477
37,1,377
37,13,170
38,11,443
38,13,312
39,3,181
39,14,490
40,3,200
40,4,273
41,1,458
42,1,469
43,1,78
44,3,300
44,14,220
45,9,154
45,15,453
46,1,478
48,9,212
48,14,385
49,1,422
49,10,413
50,18,283
51,17,156
52,9,297
53,5,491
53,9,184
53,13,485
54,1,140
54,3,160
54,6,150
55,3,101
55,8,305
55,11,233
58,19,332
58,20,495
59,3,336
59,18,66
60,9,428
61,5,431
61,6,339
62,5,73
63,5,292
64,8,389
64,21,317
64,22,33
64,23,164
65,8,461
65,22,421
65,23,249
65,24,270
66,10,216
66,21,317
66,23,42
67,8,302
67,21,196
67,23,358
68,1,370
68,9,247
68,22,150
68,23,99
69,10,108
69,21,181
69,23,346
70,19,329
70,24,438
71,9,255
71,21,45
72,5,288
72,9,171
72,16,146
72,23,493
73,9,213
74,10,91
74,21,429
75,22,163
75,23,298
75,24,396
76,1,221
76,22,126
76,23,404
76,24,133
77,3,402
77,22,267
78,9,251
78,17,500
79,6,87
79,25,367
79,26,255
80,21,349
81,9,38
81,21,444
81,22,335
81,23,67
81,27,436
82,1,170
82,10,138
83,21,218
83,22,220
83,23,228
84,25,418
84,26,369
85,9,206
85,16,463
85,28,388
86,5,317
86,6,494
86,25,452
87,6,381
87,25,153
88,8,380
88,9,123
89,3,276
89,17,67
89,29,439
90,6,119
90,25,138
90,26,489
90,30,381
91,5,431
91,25,350
91,26,237
91,31,184
92,25,157
92,32,309
92,33,405
93,9,202
93,22,304
93,23,454
93,34,252
94,1,84
94,10,488
95,16,54
95,21,214
96,25,56
96,35,349
97,25,378
97,26,190
97,32,73
98,22,140
98,23,263
98,24,320
99,6,476
99,9,164
99,31,79
99,36,225
100,6,253
100,23,325
100,25,482
100,31,20
100,36,147
101,3,475
101,37,413
102,6,423
102,25,323
102,31,403
102,36,223
103,36,196
103,38,446
104,3,97
104,37,103
105,1,412
105,10,366
106,34,75
107,9,494
107,39,307
108,40,213
108,41,157
108,42,303
109,40,128
109,43,371
109,44,429
110,39,454
110,45,320
111,21,165
111,22,199
111,23,490
111,42,374
111,46,224
112,47,399
112,48,51
113,10,278
113,11,422
113,23,477
113,49,464
113,50,39
113,51,209
114,22,404
114,23,179
114,37,125
114,44,226
114,51,384
114,52,393
114,53,240
115,22,209
115,44,328
115,53,112
116,1,451
116,54,313
117,22,173
117,51,124
118,47,141
118,51,21
118,55,162
118,56,223
118,57,250
120,13,289
120,28,368
120,58,435
120,59,253
120,60,472
120,61,215
121,8,64
121,29,135
122,42,84
123,21,192
123,42,408
123,46,287
123,62,357
124,5,482
124,7,73
124,25,351
124,32,378
124,63,27
125,21,245
125,23,372
125,40,364
125,41,307
126,10,209
126,21,170
126,23,259
126,28,360
126,29,46
126,42,183
126,51,271
127,11,22
127,13,179
127,29,284
127,46,346
127,64,415
128,3,128
128,8,23
129,1,391
129,44,443
129,65,270
130,66,286
130,67,322
131,11,247
131,68,70
132,29,37
132,69,304
133,25,425
133,32,229
133,35,426
134,23,235
134,37,346
134,40,325
134,44,411
134,53,64
134,70,197
135,21,117
135,37,289
135,42,429
135,53,204
135,57,268
135,71,46
136,67,263
136,72,34
136,73,41
136,74,349
136,75,20
137,13,59
137,28,107
137,76,105
138,30,214
138,31,212
138,38,103
138,71,29
138,77,125
138,78,71
139,22,85
139,79,100
139,80,28
140,81,31
143,82,351
